FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
0.016,0.0605,,,,,,
0.516,0.0301,2.4104,Ketene,C2H2O,68.92846246,Automatically assigned using a linear fit of manual peak assignments,O
1.227,3619.4949,3.2999,"Butane, 2,2-dimethyl-",C6H14,99.22102283,Automatically assigned using a linear fit of manual peak assignments,B
1.251,10445.501,3.2999,"Butane, 2,2-dimethyl-",C6H14,99.22102283,Automatically assigned using a linear fit of manual peak assignments,B
1.28,50738.7148,2.556,Isobutane,C4H10,,Manual,B
1.307,13488.8838,,,,,,
1.409,37056.8477,3.5484,"1-Pentene, 3-methyl-",C6H12,94.19851165,Automatically assigned using a linear fit of manual peak assignments,B
1.465,7300.7007,3.6658,"Pentane, 2-methyl-",C6H14,98.66471924,Automatically assigned using a linear fit of manual peak assignments,B
1.526,592.0469,,,,,,
1.565,149.9528,,,,,,
1.698,13394.7832,4.1289,n-Hexane,C6H14,97.14924333,Automatically assigned using a linear fit of manual peak assignments,L
1.766,3787.9497,,,,,,
1.803,39.5234,4.2223,"2-Hexene, (E)-",C6H12,85.11653069,Automatically assigned using a linear fit of manual peak assignments,E
1.856,2528.6472,4.3083,"2-Pentene, 4-methyl-",C6H12,97.73073108,Automatically assigned using a linear fit of manual peak assignments,E
1.913,208.2248,4.3683,"2-Pentene, 3-methyl-",C6H12,97.61776644,Automatically assigned using a linear fit of manual peak assignments,E
1.959,9.7762,,,,,,
2.001,248.4548,,,,,,
2.043,1467.4572,4.5778,"Butane, 2,2,3-trimethyl-",C7H16,92.36135176,Automatically assigned using a linear fit of manual peak assignments,B
2.152,1.24,,,,,,
2.187,16.707,4.8176,"2-Butene, 2,3-dimethyl-",C6H12,93.09392618,Automatically assigned using a linear fit of manual peak assignments,E
2.25,68.9405,4.9949,"3,5-Dimethyldihydropyran-2,6-dione",C7H10O3,59.90990001,Automatically assigned using a linear fit of manual peak assignments,O
2.353,4201.7437,5.1845,"1-Pentene, 2,4-dimethyl-",C7H14,96.13516485,Automatically assigned using a linear fit of manual peak assignments,E
2.432,1303.1451,5.3394,"Cyclopentene, 1-methyl-",C6H10,78.7520366,Automatically assigned using a linear fit of manual peak assignments,E
2.513,124.9455,,,,,,E
2.541,143.1142,5.4138,"2-Pentene, 2,4-dimethyl-",C7H14,94.40135478,Automatically assigned using a linear fit of manual peak assignments,E
2.57,68.7535,5.5058,"4-Methyl-2-hexene,c&t",C7H14,94.91143424,Automatically assigned using a linear fit of manual peak assignments,E
2.678,527.9335,5.6974,"Hexane, 2-methyl-",C7H16,97.12781911,Automatically assigned using a linear fit of manual peak assignments,B
2.728,140.3711,5.7427,"Hexane, 2,2,4-trimethyl-",C9H20,84.18634206,Automatically assigned using a linear fit of manual peak assignments,B
2.812,41.1393,5.8815,"1,3-Benzenediol, o-cyclopropanecarbonyl-o'-(3-methylbut-2-enoyl)-",C15H16O4,59.40099365,Automatically assigned using a linear fit of manual peak assignments,O
2.858,34.0079,5.931,"Hexane, 3-methyl-",C7H16,98.50719242,Automatically assigned using a linear fit of manual peak assignments,B
2.937,339.8405,6.0982,"2-Pentene, 2,4-dimethyl-",C7H14,91.57544573,Automatically assigned using a linear fit of manual peak assignments,E
3.033,404.1324,6.2239,"3-Heptanone, 2,4-dimethyl-",C9H18O,82.66309508,Automatically assigned using a linear fit of manual peak assignments,O
3.056,304.0003,6.3285,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
3.147,47.4767,6.4112,"Cyclobutane, 2-ethyl-1-methyl-3-propyl-",C10H20,87.81141748,Automatically assigned using a linear fit of manual peak assignments,C
3.239,26.0786,6.6179,Heptane,C7H16,97.44279435,Automatically assigned using a linear fit of manual peak assignments,L
3.267,10.5289,,,,,,
3.312,7.7296,8.1099,"Octane, 2,2,6-trimethyl-",C11H24,,Manual,B
3.345,21.2843,6.7415,"Cyclopentene, 1,5-dimethyl-",C7H12,67.74152799,Automatically assigned using a linear fit of manual peak assignments,C
3.406,97.2196,6.8465,"1-Hexene, 2-methyl-",C7H14,82.43840343,Automatically assigned using a linear fit of manual peak assignments,E
3.485,788.2932,6.968,"4-Methyl-2-hexene,c&t",C7H14,95.84571843,Automatically assigned using a linear fit of manual peak assignments,E
3.59,283.8065,7.1397,"Heptane, 2,2,6,6-tetramethyl-4-methylene-",C12H24,59.41374389,Automatically assigned using a linear fit of manual peak assignments,B
3.649,70.4565,7.248,"Cyclohexane, methyl-",C7H14,98.02434469,Automatically assigned using a linear fit of manual peak assignments,C
3.669,49.7772,7.4281,"Cyclopentene, 1,2,3-trimethyl-",C8H14,77.87060072,Automatically assigned using a linear fit of manual peak assignments,C
3.716,20.0788,,,,,,
3.761,7.1191,,,,,,
3.793,28.6034,7.4734,"1-Pentanone, 1-(2-furanyl)-",C9H12O2,79.00847776,Automatically assigned using a linear fit of manual peak assignments,O
3.826,25.9761,7.5412,"Hexane, 2,4-dimethyl-",C8H18,95.93053139,Automatically assigned using a linear fit of manual peak assignments,B
3.886,6.4087,7.6723,"4-Hexen-3-one, 5-methyl-",C7H12O,75.3310437,Automatically assigned using a linear fit of manual peak assignments,O
3.925,28.9032,7.7387,"Cyclopentane, 1,2,4-trimethyl-",C8H16,91.85310369,Automatically assigned using a linear fit of manual peak assignments,C
3.972,85.5549,7.9462,"2-Pentene, 3-ethyl-2-methyl-",C8H16,95.27254069,Automatically assigned using a linear fit of manual peak assignments,E
4.037,64.6942,,,,,,
4.122,22.4926,,,,,,
4.19,12.139,8.1621,"Cyclobutane, (1-methylethylidene)-",C7H12,88.03178642,Automatically assigned using a linear fit of manual peak assignments,C
4.242,4.4723,,,,,,
4.303,32.0237,8.3689,"Cyclopentene, 1,2,3-trimethyl-",C8H14,72.3489676,Automatically assigned using a linear fit of manual peak assignments,C
4.346,7.0151,8.4099,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
4.402,69.7066,8.4895,Toluene,C7H8,81.75713576,Automatically assigned using a linear fit of manual peak assignments,A
4.466,16.6696,8.59,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
4.506,93.5161,8.6512,"Heptane, 3-methyl-",C8H18,98.43302041,Automatically assigned using a linear fit of manual peak assignments,B
4.544,16.1627,8.7582,"Cyclohexane, 1,3-dimethyl-, cis-",C8H16,97.27560552,Automatically assigned using a linear fit of manual peak assignments,C
4.609,9.3566,8.8869,"Hexane, 2,2,5-trimethyl-",C9H20,98.63309397,Automatically assigned using a linear fit of manual peak assignments,B
4.682,4.772,8.9668,"Cyclohexane, 1,1-dimethyl-",C8H16,91.73852482,Automatically assigned using a linear fit of manual peak assignments,C
4.708,1.5534,8.9798,"6,6-Dimethylhepta-2,4-diene",C9H16,76.36470409,Automatically assigned using a linear fit of manual peak assignments,E
4.746,15.99,9.0884,"Cyclopentane, 1-ethyl-3-methyl-",C8H16,96.20938527,Automatically assigned using a linear fit of manual peak assignments,C
4.83,19.9046,9.1976,"3-Hexene, 2,3-dimethyl-",C8H16,88.98148098,Automatically assigned using a linear fit of manual peak assignments,E
4.867,4.5412,9.2625,"Cyclohexane, 1,2-dimethyl- (cis/trans)",C8H16,92.13719996,Automatically assigned using a linear fit of manual peak assignments,C
4.911,13.126,9.3437,Octane,C8H18,97.61792694,Automatically assigned using a linear fit of manual peak assignments,L
4.967,91.6211,9.421,"2,2'-Bifuran, 2,2',5,5'-tetrahydro-",C8H10O2,60.48412513,Automatically assigned using a linear fit of manual peak assignments,O
5.036,73.975,9.5245,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
5.075,36.2926,9.6032,"Cyclohexene, 3,5-dimethyl-",C8H14,89.74099926,Automatically assigned using a linear fit of manual peak assignments,C
5.11,2.5816,9.6551,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
5.135,7.7092,9.7033,"1,2,4,4-Tetramethylcyclopentene",C9H16,79.94093492,Automatically assigned using a linear fit of manual peak assignments,C
5.18,9.3611,9.794,"Hexane, 2,2,5-trimethyl-",C9H20,92.76721701,Automatically assigned using a linear fit of manual peak assignments,B
5.227,5.7142,9.891,"Heptane, 2,4-dimethyl-",C9H20,96.48186643,Automatically assigned using a linear fit of manual peak assignments,B
5.282,3.4165,9.9464,"Pentane, 3-ethyl-3-methyl-",C8H18,74.33222863,Automatically assigned using a linear fit of manual peak assignments,B
5.316,7.8681,10.0338,"1-Pentanone, 1-(2-furanyl)-",C9H12O2,57.47077327,Automatically assigned using a linear fit of manual peak assignments,O
5.347,6.1568,10.0478,"Octane, 2-methyl-",C9H20,91.94710586,Automatically assigned using a linear fit of manual peak assignments,B
5.41,16.6854,10.1592,"Cyclohexane, ethyl-",C8H16,93.32462668,Automatically assigned using a linear fit of manual peak assignments,C
5.48,3.3514,10.2837,"1,1,4-Trimethylcyclohexane",C9H18,88.74224545,Automatically assigned using a linear fit of manual peak assignments,C
5.526,10.6555,10.3748,"Cyclohexane, 1-isopropyl-1-methyl-",C10H20,80.57204567,Automatically assigned using a linear fit of manual peak assignments,C
5.562,1.7046,10.4504,"2,3-Dimethyl-3-heptene",C9H18,69.49709857,Automatically assigned using a linear fit of manual peak assignments,E
5.591,0.4833,,,,,,
5.626,4.37,10.5207,"Cyclohexane, 1-ethyl-1-methyl-",C9H18,69.58021497,Automatically assigned using a linear fit of manual peak assignments,C
5.675,2.3568,10.5816,"Cyclohexane, 1,2,4-trimethyl-",C9H18,88.23048982,Automatically assigned using a linear fit of manual peak assignments,C
5.711,1.4845,10.6841,"Cyclohexane, 1,3,5-trimethyl-",C9H18,78.54794771,Automatically assigned using a linear fit of manual peak assignments,C
5.775,3.458,10.7491,"Heptane, 3,4-dimethyl-",C9H20,84.73620262,Automatically assigned using a linear fit of manual peak assignments,B
5.808,6.5427,10.833,Ethylbenzene,C8H10,95.85298592,Automatically assigned using a linear fit of manual peak assignments,A
5.925,10.2449,11.0049,"Benzene, 1,3-dimethyl-",C8H10,98.60615518,Automatically assigned using a linear fit of manual peak assignments,A
5.993,8.1269,11.1047,"Cyclobuta[1,2:3,4]dicyclooctene, hexadecahydro-, (6a.alpha.,6b.alpha.,12a.alpha.,12b.alpha.)-",C16H28,75.29326669,Automatically assigned using a linear fit of manual peak assignments,C
