FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
0.016,0.066,,,,,Manual assignment based on HydroUI,
1.226,4604.958,2.4135,Oxygen,O2,87.43973022,Manual assignment based on HydroUI,O
1.25,12356.9209,2.4835,Acetaldehyde,C2H4O,79.94583473,Manual assignment based on HydroUI,O
1.279,62126.3945,2.559,Isobutane,C4H10,98.71706961,Manual assignment based on HydroUI,B
1.306,18432.4434,2.6301,Butane,C4H10,98.23107588,Manual assignment based on HydroUI,L
1.408,42662.6211,2.8865,"Butane, 2-methyl-",C5H12,97.37590719,Manual assignment based on HydroUI,B
1.464,9912.7813,3.0339,Pentane,C5H12,99.03778822,Manual assignment based on HydroUI,L
1.525,805.4686,3.1979,"Cyclopropane, 1,2-dimethyl-, cis-",C5H10,98.89709972,Manual assignment based on HydroUI,C
1.564,189.2788,3.3018,"Butane, 2,2-dimethyl-",C6H14,99.21773862,Manual assignment based on HydroUI,B
1.697,14692.5781,3.6655,"Pentane, 2-methyl-",C6H14,98.57160532,Manual assignment based on HydroUI,B
1.765,4347.8223,3.8604,"Pentane, 3-methyl-",C6H14,99.16335144,Manual assignment based on HydroUI,B
1.802,49.7218,3.9806,"1-Pentene, 2-methyl-",C6H12,96.25363362,Manual assignment based on HydroUI,E
1.856,3889.5391,4.1303,n-Hexane,C6H14,97.08833858,Manual assignment based on HydroUI,L
1.912,248.9678,4.3097,"2-Pentene, 4-methyl-",C6H12,97.08953453,Manual assignment based on HydroUI,E
2,330.8083,4.5799,"Pentane, 3-ethyl-2,4-dimethyl-",C9H20,89.56669866,Manual assignment based on HydroUI,B
2.043,1816.0044,4.7085,"Pentane, 2,4-dimethyl-",C7H16,97.00855191,Manual assignment based on HydroUI,B
2.152,1.5981,,No match,,,Manual assignment based on HydroUI,
2.186,21.5721,5.1878,"1-Pentene, 2,4-dimethyl-",C7H14,97.0387783,Manual assignment based on HydroUI,E
2.245,97.9672,5.3549,"Pentane, 3,3-dimethyl-",C7H16,95.42580128,Manual assignment based on HydroUI,B
2.317,1170.1769,5.5707,Cyclohexane,C6H12,98.60416418,Manual assignment based on HydroUI,C
2.355,5606.979,5.6936,"Hexane, 2-methyl-",C7H16,97.1476109,Manual assignment based on HydroUI,B
2.433,1898.0836,5.9307,"Hexane, 3-methyl-",C7H16,98.55246451,Manual assignment based on HydroUI,B
2.513,178.3538,6.1573,"Cyclopentane, 1,3-dimethyl-, trans-",C7H14,96.75180438,Manual assignment based on HydroUI,C
2.54,212.5508,6.2351,"Cyclopentane, 1,3-dimethyl-",C7H14,91.58641821,Manual assignment based on HydroUI,C
2.57,98.8733,6.3145,"Cyclopentane, 1,2-dimethyl-, trans-",C7H14,96.85600183,Manual assignment based on HydroUI,C
2.678,872.3867,6.6187,Heptane,C7H16,97.42655061,Manual assignment based on HydroUI,L
2.728,204.6396,6.7566,"4-Methyl-2-hexene,c&t",C7H14,96.39320921,Manual assignment based on HydroUI,E
2.812,60.7682,6.9697,"4-Methyl-2-hexene,c&t",C7H14,96.51652619,Manual assignment based on HydroUI,E
2.858,49.506,7.0811,"2-Pentene, 3,4-dimethyl-, (Z)-",C7H14,96.96311776,Manual assignment based on HydroUI,E
2.937,539.9072,7.2494,"Cyclohexane, methyl-",C7H14,97.96253991,Manual assignment based on HydroUI,C
3.034,647.2184,7.4893,"Hexane, 2,5-dimethyl-",C8H18,99.21133743,Manual assignment based on HydroUI,B
3.057,491.2129,7.5417,"Hexane, 2,4-dimethyl-",C8H18,95.83040503,Manual assignment based on HydroUI,B
3.147,83.8873,7.7408,"Cyclopentane, 1,2,4-trimethyl-",C8H16,91.04540313,Manual assignment based on HydroUI,C
3.239,43.5061,7.9483,3-Ethyl-3-hexene,C8H16,94.25249714,Manual assignment based on HydroUI,E
3.267,17.5179,8.0046,"Bicyclo[2.2.1]heptane, 2-(3-methylbutyl)-",C12H22,64.06886299,Manual assignment based on HydroUI,C
3.312,12.9805,8.093,"Nonane, 2,2,3-trimethyl-",C12H26,70.73090616,Manual assignment based on HydroUI,B
3.345,37.0549,8.164,"Cyclobutane, (1-methylethylidene)-",C7H12,87.97634135,Manual assignment based on HydroUI,C
3.406,170.162,8.2903,"Hexane, 2,3-dimethyl-",C8H18,97.11589755,Manual assignment based on HydroUI,B
