FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
2.356,0.1331,2.4434,,,,,
2.446,0.9483,2.4434,Isobutane,C4H10,96.44576233,Manual,B
2.497,0.166,2.4434,,,,,
2.675,6.4682,2.6725,"Butane, 2-methyl-",C5H12,97.70118476,Automatically assigned using a linear fit of manual peak assignments,B
2.77,0.4605,2.6725,,,,,
2.875,0.2898,2.7676,,,,,
2.943,0.0955,2.7676,,,,,
3.164,8.041,3.161,"Pentane, 2-methyl-",C6H14,98.4499574,Automatically assigned using a linear fit of manual peak assignments,B
3.285,2.7361,3.161,,,,,
3.436,1.0566,3.2826,"Pentane, 3-methyl-",C6H14,97.78715088,Automatically assigned using a linear fit of manual peak assignments,B
3.53,0.2684,3.4343,n-Hexane,C6H14,93.38331994,Automatically assigned using a linear fit of manual peak assignments,L
3.688,0.454,3.5251,"1-Butene, 2,3-dimethyl-",C6H12,76.97470018,Automatically assigned using a linear fit of manual peak assignments,E
3.775,3.2516,3.686,"Pentane, 2,2-dimethyl-",C7H16,90.0202472,Automatically assigned using a linear fit of manual peak assignments,B
3.845,0.2564,3.686,,,,,
4.392,91532.8906,4.3556,,,,,
4.461,10.3572,4.3556,,,,,
4.606,0.8945,4.4581,"Hexane, 3-methyl-",C7H16,92.32564273,Automatically assigned using a linear fit of manual peak assignments,B
4.649,0.2178,4.6033,,,,,
4.694,0.7227,4.6033,"Octane, 3-methyl-6-methylene-",C10H20,82.20580717,Automatically assigned using a linear fit of manual peak assignments,E
4.85,0.454,4.6912,"Cyclopentane, 1,2-dimethyl-",C7H14,85.10010579,Automatically assigned using a linear fit of manual peak assignments,C
4.938,0.1835,4.8474,Heptane,C7H16,96.01191315,Automatically assigned using a linear fit of manual peak assignments,L
5.085,0.0667,4.9354,(R)-(+)-3-Methylcyclopentanone,C6H10O,84.73283651,Automatically assigned using a linear fit of manual peak assignments,O
5.171,0.0735,5.3392,,,,,
5.254,0.043,5.3392,,,,,
5.341,0.7423,5.3392,,,,,
5.465,1.3501,5.3392,"Cyclohexane, methyl-",C7H14,92.3336264,Automatically assigned using a linear fit of manual peak assignments,C
5.512,1.0129,5.3392,,,,,
5.573,0.0853,5.463,"Hexane, 2,5-dimethyl-",C8H18,92.28184628,Automatically assigned using a linear fit of manual peak assignments,B
5.693,0.1627,5.5097,"Heptane, 3,4,5-trimethyl-",C10H22,90.72111833,Automatically assigned using a linear fit of manual peak assignments,B
5.865,0.1187,6.1359,,,,,
6.049,0.0563,6.1359,,,,,
6.138,0.4334,6.1359,,,,,
6.262,2.8887,6.1359,"Hexane, 2,3-dimethyl-",C8H18,95.05697917,Automatically assigned using a linear fit of manual peak assignments,B
6.352,0.2301,6.259,"Heptane, 2-methyl-",C8H18,96.6426637,Automatically assigned using a linear fit of manual peak assignments,B
6.45,1.2965,6.346,Toluene,C7H8,82.91358456,Automatically assigned using a linear fit of manual peak assignments,A
6.593,0.4088,6.447,"Heptane, 3-methyl-",C8H18,93.32617948,Automatically assigned using a linear fit of manual peak assignments,B
6.628,0.3962,6.6611,"Heptane, 4-ethyl-2,2,6,6-tetramethyl-",C13H28,73.24944726,Manual,B
6.826,0.1542,6.6611,,,,,
6.883,0.1368,7.0844,,,,,
7.085,0.4274,7.0844,Octane,C8H18,90.95207896,Automatically assigned using a linear fit of manual peak assignments,L
7.242,0.2686,7.0844,,,,,
7.356,0.0937,7.2381,"Cyclohexane, 1,3-dimethyl-, trans-",C8H16,89.19939665,Automatically assigned using a linear fit of manual peak assignments,C
7.448,0.1231,7.4486,,,,,
7.617,0.3855,7.4486,"Heptane, 4,4-dimethyl-",C9H20,76.48286326,Automatically assigned using a linear fit of manual peak assignments,B
7.77,0.6817,7.6147,"Heptane, 2,4-dimethyl-",C9H20,92.19243544,Automatically assigned using a linear fit of manual peak assignments,B
7.93,1.3444,7.7666,"Octane, 2-methyl-",C9H20,88.65581551,Automatically assigned using a linear fit of manual peak assignments,B
8.044,0.1282,7.9269,"Heptane, 3,5-dimethyl-",C9H20,92.93207049,Automatically assigned using a linear fit of manual peak assignments,B
8.126,0.0984,8.0388,"1,1,4-Trimethylcyclohexane",C9H18,76.63485903,Automatically assigned using a linear fit of manual peak assignments,C
8.337,0.2923,8.3349,,,,,
8.425,0.423,8.3349,"Cyclohexane, 1,3,5-trimethyl-",C9H18,83.43033663,Automatically assigned using a linear fit of manual peak assignments,C
8.609,1.6269,8.422,"Heptane, 2,3-dimethyl-",C9H20,83.23440521,Automatically assigned using a linear fit of manual peak assignments,B
8.765,1.5675,8.6061,"Octane, 2-methyl-",C9H20,93.03858256,Automatically assigned using a linear fit of manual peak assignments,B
8.903,0.192,8.7615,"Octane, 3-methyl-",C9H20,85.2713681,Automatically assigned using a linear fit of manual peak assignments,B
8.976,0.0754,8.8999,,,,,
9.038,0.1288,8.8999,"1-Undecene, 7-methyl-",C12H24,81.43394262,Automatically assigned using a linear fit of manual peak assignments,E
9.153,0.1409,9.0345,"Cyclooctane, (1-methylpropyl)-",C12H24,75.96650218,Automatically assigned using a linear fit of manual peak assignments,C
9.197,0.0931,9.0345,,,,,
9.293,0.2064,9.149,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,89.24734635,Automatically assigned using a linear fit of manual peak assignments,C
9.388,0.2989,9.2903,"Benzene, 1,3-dimethyl-",C8H10,85.26050247,Automatically assigned using a linear fit of manual peak assignments,A
9.577,0.1868,9.7374,,,,,
9.646,0.1167,9.7374,,,,,
9.767,0.3925,9.7374,,,,,
9.919,0.4269,9.7374,"Heptane, 3,5-dimethyl-",C9H20,62.71162506,Automatically assigned using a linear fit of manual peak assignments,B
10.005,0.388,9.9143,"Heptane, 2,3,4-trimethyl-",C10H22,91.7137349,Automatically assigned using a linear fit of manual peak assignments,B
10.106,0.5833,10.0032,"Octane, 2,7-dimethyl-",C10H22,84.55851933,Automatically assigned using a linear fit of manual peak assignments,B
10.228,0.2905,10.1032,"Undecane, 6,6-dimethyl-",C13H28,90.54596665,Automatically assigned using a linear fit of manual peak assignments,B
10.424,0.1514,10.5274,,,,,
10.533,0.2728,10.5274,,,,,
10.667,0.462,10.5274,"Heptane, 3-ethyl-2-methyl-",C10H22,90.30957612,Automatically assigned using a linear fit of manual peak assignments,B
10.72,0.9645,10.662,"Heptane, 3,3,4-trimethyl-",C10H22,79.48101046,Automatically assigned using a linear fit of manual peak assignments,B
10.854,0.7982,10.6882,2-(Butyliden-2-one)tetrahydrofuran,C8H12O2,66.20571776,Automatically assigned using a linear fit of manual peak assignments,O
10.963,0.2616,10.8516,"Nonane, 3-methyl-",C10H22,88.02386694,Automatically assigned using a linear fit of manual peak assignments,B
11.055,0.1247,10.9626,"Pentane, 2,2-dimethyl-",C7H16,82.17777998,Automatically assigned using a linear fit of manual peak assignments,B
11.124,0.0841,10.9626,,,,,
11.184,0.0859,11.0909,"Hexane, 2,2,4-trimethyl-",C9H20,60.86099013,Automatically assigned using a linear fit of manual peak assignments,B
11.351,1.3076,11.3484,"Benzene, 1,2,4-trimethyl-",C9H12,95.43768093,Automatically assigned using a linear fit of manual peak assignments,A
11.661,0.1871,11.6548,,,,,
11.7,0.0423,11.6548,,,,,
11.764,0.2126,11.6548,"Pentane, 2,2-dimethyl-",C7H16,83.11213422,Automatically assigned using a linear fit of manual peak assignments,B
11.817,0.1305,11.6548,,,,,
11.911,0.4817,11.7616,"4,4-Dimethyl octane",C10H22,84.38695869,Automatically assigned using a linear fit of manual peak assignments,B
12.033,0.2935,11.8998,"Benzene, 1-ethyl-4-methyl-",C9H12,84.55030953,Automatically assigned using a linear fit of manual peak assignments,A
12.114,0.1949,12.028,"Decane, 2,9-dimethyl-",C12H26,83.96042182,Automatically assigned using a linear fit of manual peak assignments,B
12.427,0.447,12.3954,,,,,
12.483,0.2101,12.3954,,,,,
12.52,0.5278,12.3954,"Benzene, 1-methyl-4-propyl-",C10H14,78.50370313,Automatically assigned using a linear fit of manual peak assignments,A
12.658,0.2602,12.478,"Undecane, 4,5-dimethyl-",C13H28,82.30658471,Automatically assigned using a linear fit of manual peak assignments,B
12.714,0.0767,12.54,"Octane, 3,6-dimethyl-",C10H22,82.96177666,Automatically assigned using a linear fit of manual peak assignments,B
12.806,0.0873,12.653,"Decane, 3-methyl-",C11H24,88.86021937,Automatically assigned using a linear fit of manual peak assignments,B
12.85,0.0943,12.8469,,,,,
12.881,0.1127,12.8469,,,,,
12.991,0.3031,12.8469,"Benzene, 1-ethyl-2,4-dimethyl-",C10H14,85.75393483,Automatically assigned using a linear fit of manual peak assignments,A
13.044,0.0481,12.8776,"o-Toluic acid, tridec-2-ynyl ester",C21H30O2,76.56199703,Automatically assigned using a linear fit of manual peak assignments,O
13.142,0.1347,12.9882,,,,,
13.243,0.0473,13.3482,,,,,
13.352,0.1774,13.3482,,,,,
13.421,0.3335,13.3482,,,,,
13.463,0.0609,13.3482,,,,,
13.511,0.6762,13.3482,"Benzene, 2-ethyl-1,4-dimethyl-",C10H14,61.89922949,Automatically assigned using a linear fit of manual peak assignments,A
13.584,0.753,13.4169,"Undecane, 2,7-dimethyl-",C13H28,86.77955971,Automatically assigned using a linear fit of manual peak assignments,B
13.692,0.1756,13.5069,"Benzene, 1-ethyl-2,4-dimethyl-",C10H14,88.65771096,Automatically assigned using a linear fit of manual peak assignments,A
13.801,0.1143,13.9383,,,,,
13.942,0.2939,13.9383,"Benzene, 1,3-diethyl-5-methyl-",C11H16,89.73193557,Automatically assigned using a linear fit of manual peak assignments,A
14.023,0.1382,13.9383,,,,,
14.099,0.2064,13.9383,,,,,
14.154,0.0893,14.0195,"Octane, 3,4,5,6-tetramethyl-",C12H26,87.0802539,Automatically assigned using a linear fit of manual peak assignments,B
14.197,0.039,14.0195,,,,,
14.264,0.141,14.1069,"Benzene, 1-methyl-3-(1-methylethyl)-",C10H14,67.0642173,Automatically assigned using a linear fit of manual peak assignments,A
14.338,0.0693,14.2611,,,,,
14.427,0.1972,14.2611,"Butyric acid, 2-phenyl-, dec-2-yl ester",C20H32O2,54.09516864,Automatically assigned using a linear fit of manual peak assignments,O
14.69,0.563,14.6563,"Benzene, 1-methyl-4-(1-methyl-2-propenyl)-",C11H14,52.42766322,Automatically assigned using a linear fit of manual peak assignments,A
14.786,0.2741,14.6563,,,,,
14.825,0.2206,14.6563,,,,,
14.912,0.0869,14.7838,,,,,
14.967,0.2236,14.7838,"Benzene, pentamethyl-",C11H16,82.61194317,Automatically assigned using a linear fit of manual peak assignments,A
15.03,0.1839,14.9082,"Hexane, 2,4,4-trimethyl-",C9H20,72.50488665,Automatically assigned using a linear fit of manual peak assignments,B
15.126,0.1662,14.9648,,,,,
15.188,0.3142,15.1257,5-Methyl-2-phenyl-2-propyle-4-hexene-1-ol,C16H24O,53.14933946,Automatically assigned using a linear fit of manual peak assignments,O
15.304,0.0462,15.1257,,,,,
15.396,0.1599,15.4345,,,,,
15.461,0.1889,15.4345,,,,,
15.497,0.2004,15.4345,,,,,
15.557,0.1362,15.4345,,,,,
15.599,0.2282,15.4345,"Benzene, 1,4-dimethyl-2-(2-methylpropyl)-",C12H18,65.62654041,Automatically assigned using a linear fit of manual peak assignments,A
15.722,0.0878,15.5527,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
15.755,0.1339,15.7479,,,,,
15.801,0.1062,15.7479,,,,,
15.851,0.1172,15.7479,,,,,
15.923,0.1708,15.7479,,,,,
16.027,0.5923,15.8644,"1,3-dioxane-5,5-dimethanol, 2-butyl-",C10H20O4,64.27686401,Automatically assigned using a linear fit of manual peak assignments,O
16.113,0.1442,16.0248,,,,,
16.213,0.4102,16.0248,"Benzene, pentamethyl-",C11H16,87.87795152,Automatically assigned using a linear fit of manual peak assignments,A
16.286,0.0974,16.2117,,,,,
16.354,0.2573,16.2117,"1H-Indene, 2,3-dihydro-1,1,3-trimethyl-",C12H16,58.64511567,Automatically assigned using a linear fit of manual peak assignments,A
16.45,0.0967,16.3498,"Naphthalene, 1,2,3,4-tetrahydro-1,6-dimethyl-4-(1-methylethyl)-, (1S-cis)-",C15H22,65.86685648,Automatically assigned using a linear fit of manual peak assignments,A
16.523,0.0607,16.3498,,,,,
16.581,0.1936,16.5204,"Naphthalene, 2-methyl-",C11H10,55.41264537,Automatically assigned using a linear fit of manual peak assignments,A
16.697,0.1159,16.5204,,,,,
16.817,0.2256,16.8157,"Toluene, 4-(1,1-dimethyl-2-propynyloxy)-",C12H14O,62.60178991,Automatically assigned using a linear fit of manual peak assignments,A
16.906,0.2214,16.8157,,,,,
16.964,0.0642,16.8157,,,,,
17.023,0.0667,17.09,,,,,
17.092,0.2054,17.09,"Benzene, 1-(1,1-dimethylethyl)-3-ethyl-",C12H18,70.63020193,Automatically assigned using a linear fit of manual peak assignments,A
17.161,0.1058,17.09,,,,,
17.327,0.3638,17.1665,6-Ethyl-3-formylchromone,C12H10O3,62.67256977,Automatically assigned using a linear fit of manual peak assignments,O
17.433,0.105,17.325,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
17.576,0.1575,17.5771,,,,,
17.658,0.0913,17.5771,,,,,
17.76,0.2591,17.5771,"1H-Indene, 2,3-dihydro-1,4,7-trimethyl-",C12H16,56.48678243,Automatically assigned using a linear fit of manual peak assignments,A
17.923,42.7223,17.7552,"Benzene, 1,3,5-tri-tert-butyl-",C18H30,,Manual,A
18.042,0.0638,17.9226,,,,,
18.163,0.1327,17.9226,,,,,
18.259,0.1021,18.5493,,,,,
18.34,0.0451,18.5493,,,,,
18.442,0.0427,18.5493,,,,,
