FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
0.016,0.0985,,,,,,
0.516,0.0418,,,,,,
1.25,4288.1553,,,,,,
1.279,83428.3125,2.6157,2-Propenal,C3H4O,82.95863363,Automatically assigned using a linear fit of manual peak assignments,O
1.407,56118.7109,2.5614,Isobutane,C4H10,99.09855028,Manual,B
1.463,3600.7461,2.9853,"Cyclobutane, 1,1,2,3,3-pentamethyl-",C9H18,64.75858892,Automatically assigned using a linear fit of manual peak assignments,C
1.525,1132.0519,3.1058,"2-Pentene, (Z)-",C5H10,98.16935874,Automatically assigned using a linear fit of manual peak assignments,E
1.564,105.9013,3.1991,"Cyclopropane, 1,2-dimethyl-, cis-",C5H10,98.93317825,Automatically assigned using a linear fit of manual peak assignments,C
1.698,18631.2949,3.5503,"Pentane, 3-methylene-",C6H12,94.6354507,Automatically assigned using a linear fit of manual peak assignments,E
1.766,5288.0298,,,,,,
1.803,60.9161,3.6188,"Butane, 2,3-dimethyl-",C6H14,97.04045964,Automatically assigned using a linear fit of manual peak assignments,B
1.856,1026.0499,3.8622,"Pentane, 3-methyl-",C6H14,99.19050223,Automatically assigned using a linear fit of manual peak assignments,B
1.912,562.3512,,,,,,
2.001,253.7886,,,,,,
2.043,2214.2847,4.1335,n-Hexane,C6H14,97.29032704,Automatically assigned using a linear fit of manual peak assignments,L
2.151,3.4447,4.3122,"2-Pentene, 4-methyl-",C6H12,97.23478354,Automatically assigned using a linear fit of manual peak assignments,E
2.186,24.1,,,,,,
2.254,77.7355,4.5847,"2-Pentene, 3-methyl-",C6H12,97.12823334,Automatically assigned using a linear fit of manual peak assignments,E
2.317,19.2842,,,,,,
2.355,5883.4717,4.7101,"Pentane, 2,4-dimethyl-",C7H16,97.96185813,Automatically assigned using a linear fit of manual peak assignments,B
2.433,1619.8563,5.0789,"Cyclopentane, 1,3-dimethyl-",C7H14,81.22455634,Automatically assigned using a linear fit of manual peak assignments,B
2.513,171.4298,,,,,,
2.542,193.1577,,,,,,
2.57,90.5214,5.1904,"1-Pentene, 2,4-dimethyl-",C7H14,96.82273675,Automatically assigned using a linear fit of manual peak assignments,E
2.678,331.4456,5.3442,"1,5-Heptadiene, (E)-",C7H12,86.49244133,Automatically assigned using a linear fit of manual peak assignments,E
2.728,185.7545,5.5096,"1-Pentene, 3,3-dimethyl-",C7H14,94.98898605,Automatically assigned using a linear fit of manual peak assignments,E
2.813,54.3873,5.6959,"Hexane, 2-methyl-",C7H16,97.25060614,Automatically assigned using a linear fit of manual peak assignments,B
2.859,47.105,,,,,,
2.938,447.1234,5.8905,"1,5-Pentanediol, O,O'-di(3-methylbut-2-enoyl)-",C15H24O4,64.85491959,Automatically assigned using a linear fit of manual peak assignments,O
3.034,589.5125,6.0972,"2-Pentene, 2,4-dimethyl-",C7H14,87.43730208,Automatically assigned using a linear fit of manual peak assignments,E
3.058,444.5403,,,,,,
3.147,59.1789,6.3167,"Cyclopentane, 1,2-dimethyl-, trans-",C7H14,96.06423987,Automatically assigned using a linear fit of manual peak assignments,C
3.241,36.6606,6.5547,3-Methyl-3-hexene,C7H14,95.61605058,Automatically assigned using a linear fit of manual peak assignments,E
3.267,14.8509,,,,,,
3.314,9.6813,6.6235,Heptane,C7H16,97.58857982,Automatically assigned using a linear fit of manual peak assignments,L
3.346,26.0854,6.6564,4-Hexen-3-one,C6H10O,68.14465733,Automatically assigned using a linear fit of manual peak assignments,O
3.407,137.3484,6.8015,No Match,,,Automatically assigned using a linear fit of manual peak assignments,
3.486,950.3459,6.9727,"4-Methyl-2-hexene,c&t",C7H14,96.74813243,Automatically assigned using a linear fit of manual peak assignments,E
3.591,337.6334,7.1424,"1-Pentene, 2,4,4-trimethyl-",C8H16,73.18665701,Automatically assigned using a linear fit of manual peak assignments,E
